Property ID,City,Neighborhood,Sale Price,Monthly Rent Estimate,Rent_to_Price_Ratio
58,New York,Brooklyn,231390,2484,0.12882147024504084
74,Houston,Montrose,559483,5210,0.1117460226673554
13,Houston,Midtown,706658,6579,0.11172023807839153
79,Los Angeles,Venice,219748,2027,0.11069042721662996
80,Houston,Montrose,751592,6631,0.10587127058297587
31,Los Angeles,Hollywood,940422,8243,0.10518256697525154
41,New York,Brooklyn,451483,3930,0.10445576023903447
98,Los Angeles,Venice,919848,7941,0.1035953766274428
50,Phoenix,Arcadia,943629,8098,0.10298115043094266
39,Houston,The Heights,591136,5063,0.10277837925621176
